creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Maciejewski, Dr. Casimir																														Les Erreurs et les Fautes des Chefs du Pacifisme.	French		361	Les Erreurs et les Fautes des Chefs du Pacifisme Maciejewski Dr Casimir	Pacifisme; problème de la Paix.6	362.pdf	2021-07-05	Parijs, 1913		P06-2-40-003.pdf	2021-07-05
Huizinga, Ds. Menno		Mierop, Lodewijk van																												"Manifest der dienstweigeraars. Oplagen 1, 2, 3, 4, 5, plus """"internationale uitgave"""". 2e oplage."	Dutch		369	Manifest der dienstweigeraars Oplagen 1 2 3 4 5 plus internationale uitgave 2e oplage Huizinga Ds Menno Mierop Lodewijk van	Refus du Service Militaire.24	370.pdf	2021-07-05			R06-3-45-011.pdf	2021-07-05
Bingham, Alfred M.	http://viaf.org/viaf/72932119	Dos Passos, John (introduction)																												Beware of Europe's Wars. A warning to American Liberals and Progressives	English		377	Beware of Europe s Wars A warning to American Liberals and Progressives Bingham Alfred M Dos Passos John (introduction)	Pacifisme; problème de la Paix.4	378.pdf	2021-07-05	1937		P06-2-40-012.pdf	2021-07-05
Huxley, Aldous	http://viaf.org/viaf/71392434																													1936 Peace? (Reprinted from 'The Star', December 31st, 1935	English		385	1936 Peace (Reprinted from The Star December 31st 1935 Huxley Aldous	Pacifisme; problème de la Paix.6	386.pdf	2021-07-05	31-Dec-35		P06-2-40-017.pdf	2021-07-05
Wijk, Hein van Ruttink, J. Hagedorn Beyderwellen, C. Mierop-Mulder, T. van Hessels, Bram Linden, L.v.d. Smit-Schuckink Kool, P Huisman, Cor Boudens, Aug. A. Peereboom, Robert Beumer, Mr. F.H.M.																														"3. Rapporten, circulaires, propagandamateriaal en correspondentie inzake de """"Derde Ronde Tafel Conferentie, belegd voor de anti-oorlogsbeweging in Nederland"""", door de Jongeren Vredes Actie, Rotterdam, op 25 en 26 april 1936 te Amsterdam."""""	Dutch		393	Rapporten circulaires propagandamateriaal en correspondentie inzake de Derde Ronde Tafel Conferentie belegd voor de anti-oorlogsbeweging in Nederland door de Jongeren Vredes Actie Rotterdam op 25 en 26 april 1936 te Amsterdam Wijk Hein van Ruttink J Hagedorn Beyderwellen C Mierop-Mulder T van Hessels Bram Linden L v d Smit-Schuckink Kool P Huisman Cor Boudens Aug A Peereboom Robert Beumer Mr F H M	Ronde Tafel Conferenties.3	394.pdf	2021-07-05	1936		R19-1-45-001.pdf	2021-07-05
Kellogg, Frank B.	http://viaf.org/viaf/13120217																													"7. Blad: """"Foreign Affairs. An American Quarterly Review. Special supplement, Vol.6, No.3"""". Bevat artikel: """"The War Prevention Policy of the United States""""."	English		409	Blad Foreign Affairs An American Quarterly Review Special supplement Vol 6 No 3 Bevat artikel The War Prevention Policy of the United States Kellogg Frank B	Pacte-Briand-Kellogg.2 (Kellogg-Verdrag)	410.pdf	2021-07-05	1928		P10-40-008.pdf	2021-07-05
Coudenhove-Kalergi, Dr. R.N. Graaf (voorwoord) 		Pollard, F. 		The Friends Peace Committee, London.		Heath, Carl	http://viaf.org/viaf/310506315	Thomas, Wilbur K.																						"2. Brochure: """"Paneuropa ABC"""". Uitgave: Paneuropa Uitgeverij, Weenen, Hofburg."""""	Dutch		417	Brochure Paneuropa ABC Uitgave Paneuropa Uitgeverij Weenen Hofburg Coudenhove-Kalergi Dr R N Graaf (voorwoord) Pollard F The Friends Peace Committee London Heath Carl Thomas Wilbur K	Pan Europe.4	418.pdf	2021-07-05	Wenen, 1 januari 1931		P12-41-006.pdf	2021-07-05
Klingenberg, Brynjulf Johannesøn																														"5. Pamflet: """"En Meddelelse Stundimellem. Fredsparlamentet og dets organisation""""."	Norwegian		425	Pamflet En Meddelelse Stundimellem Fredsparlamentet og dets organisation Klingenberg Brynjulf Johannesøn	Scandinavie.7	426.pdf	2021-07-05	Kristiania, 1 augustus 1912		S08-2-47-004.pdf	2021-07-05
Le Mare, Arthur S.		Parmoor, Lord (voorwoord)																												"11. Brochure: """"Soldier and Policeman. A consideration of the Rightful Use of Force in Civil and International Affairs""""."	English		433	Brochure Soldier and Policeman A consideration of the Rightful Use of Force in Civil and International Affairs Le Mare Arthur S Parmoor Lord (voorwoord)	Pan Europe.6	434.pdf	2021-07-05	Londen, 1926		P12-41-011.pdf	2021-07-05
Coudenhove-Kalergi, Dr. R.N. Graaf																														"18. Brochure: """"Was Will Paneuropa"""". Uitgave: Paneuropa Verlag, Hofburg, Wenen."	German		441	Brochure Was Will Paneuropa Uitgave Paneuropa Verlag Hofburg Wenen Coudenhove-Kalergi Dr R N Graaf	Pan Europe.7	442.pdf	2021-07-05			P12-41-015.pdf	2021-07-05
Ruysch, W.A. (samensteller)		Meijer, J (redactie) 		Carmiggelt, S (redactie)		Kierdorff, W (redactie) 		Leeuw, Mr. J.J. van der		Block, Mr. A.L. de 		Oudegeest, J. Heldring, E.		Huberman, Bronislaw 		Ranitz, Jhr. J.C. de														" 1. Tijdschrift: """"De Schakelaar. Orgaan van Haagsche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs."""" Vijfde jaargang. Paneuropa-nummer. Maart 1931"""". (VERVOLG) Met bijdragen van: Leeuw, Mr. J.J. van der Block, Mr. A.L. de Oude"	Dutch		457	Tijdschrift De Schakelaar Orgaan van Haagsche Instellingen voor voorbereidend Hooger- en Middelbaar Onderwijs Vijfde jaargang Paneuropa-nummer Maart 1931 (VERVOLG) Met bijdragen van Leeuw Mr J J van der Block Mr A L de Oude Ruysch W A (samensteller) Meijer J (redactie) Carmiggelt S (redactie) Kierdorff W (redactie) Leeuw Mr J J van der Block Mr A L de Oudegeest J Heldring E Huberman Bronislaw Ranitz Jhr J C de	Pan Europe.3	458.pdf	2021-07-05	Maart 1931		P12-41-023.pdf	2021-07-05
Shirley, Ralph	http://viaf.org/viaf/78614863																													"2. Boekje: """"Prophecies and omens of the Great War""""."	English		465	Boekje Prophecies and omens of the Great War Shirley Ralph	Religion et Paix. Religie en Vrede.	466.pdf	2021-07-05	Londen, 1914		R08-45-002.pdf	2021-07-05
Centraal Comite van de Jongeren Vredes Actie, Den Haag																														"26. Brochure: """"Stelselmatige vernieling van ons vaderland in oorlogstijd""""."	Dutch		473	Brochure Stelselmatige vernieling van ons vaderland in oorlogstijd Centraal Comite van de Jongeren Vredes Actie Den Haag	Pays-Bas.07	474.pdf	2021-07-05	's-Gravenhage, 1929		P16-41-011.pdf	2021-07-05
Nederlandsche Anti-Oorlog Raad.																														"De Gewaarborgde Vrede"""". Uitgave: Nederlandsche Anti-Oorlog Raad."""""	Dutch		481	De Gewaarborgde Vrede Uitgave Nederlandsche Anti-Oorlog Raad Nederlandsche Anti-Oorlog Raad	Pays-Bas.02	482.pdf	2021-07-05	Februari 1917		P16-41-019.pdf	2021-07-05
Brandt Corstius, Dr. J.C.		Börger, Mr. Drs. A. 		Tijsen, Ali		Tillema-Heynen,Mevr. L.		Heroma, K.		Rutterink, Drs. J.		Mispelblom Beyer, Dr.L.M. 		Zeverijn, Mevr. A.M.		Hugenholtz, Ds .J.B.Th.		Ruttink, J. 		Peereboom, Mevr. J.Th. 		Voogd. Drs. J. de		Vrind, Mr. Hein Hag						"4. Rapporten, circulaires, propagandamateriaal en correspondentie inzake de """"Vierde Ronde Tafel Conferentie, belegd voor de anti-oorlogsbeweging in Nederland"""", door de Alg. Ned. Vrouwen Vredebond, Soest, op 17 en 18 oktober 1936 te Utrecht."""""	Dutch		489	Rapporten circulaires propagandamateriaal en correspondentie inzake de Vierde Ronde Tafel Conferentie belegd voor de anti-oorlogsbeweging in Nederland door de Alg Ned Vrouwen Vredebond Soest op 17 en 18 oktober 1936 te Utrecht Brandt Corstius Dr J C Börger Mr Drs A Tijsen Ali Tillema-Heynen Mevr L Heroma K Rutterink Drs J Mispelblom Beyer Dr L M Zeverijn Mevr A M Hugenholtz Ds J B Th Ruttink J Peereboom Mevr J Th Voogd Drs J de Vrind Mr Hein Hag	Ronde Tafel Conferenties.4a	490.pdf	2021-07-05	1936		R19-2-46-001.pdf	2021-07-05
Doorn, Jhr. W.Th.C. van		Mandere, H. van der																												"1. Brochure: """"Pro en Contra. Neutraliteit van Nederland"""". (Serie VII, No.2.)"""""	Dutch		497	Brochure Pro en Contra Neutraliteit van Nederland (Serie VII No ) Doorn Jhr W Th C van Mandere H van der	Pays-Bas.01	498.pdf	2021-07-05	Mei 1911		P16-41-024 .pdf	2021-07-05
Peckover, Miss P.H.		Arnaud, M.																												"3. Pamflet: """"Pacigerence. A neutral alliance for peacemaking""""."	English		505	Pamflet Pacigerence A neutral alliance for peacemaking Peckover Miss P H Arnaud M	Sanctions Internationales. Internationale Sancties.	506.pdf	2021-07-05			S06-47-002.pdf	2021-07-05
Voogd, Drs. G.J. de		Huisman, Cor	http://viaf.org/viaf/43140168																											7. Correspondentie tussen Drs. G.J. de Voogd en Cor Huisman, journalist, d.d. 4 december 1936 en 6 en 9 januari 1937.	Dutch		521	Correspondentie tussen Drs G J de Voogd en Cor Huisman journalist d d 4 december 1936 en 6 en 9 januari 193 Voogd Drs G J de Huisman Cor	Protection des Populations Civiles.6	522.pdf	2021-07-05	1936,1937		P54-2-43-006.pdf	2021-07-05
Groenewoud, F.G.																														12. Kopiebrief van F.G.Groenewoud, Rotterdam, aan de Commissaris der Koningin in Zuid Holland, d.d. 14 januari 1939, i.v.m. bezwaren tegen luchtbeschermings-oefeningen, plus antwoord van de Hoofd-Commissaris van Politie, Rotterdam, d.d. 17 januari 1939.	Dutch		529	Kopiebrief van F G Groenewoud Rotterdam aan de Commissaris der Koningin in Zuid Holland d d 14 januari 1939 i v m bezwaren tegen luchtbeschermings-oefeningen plus antwoord van de Hoofd-Commissaris van Politie Rotterdam d d 17 januari 193 Groenewoud F G	Protection des Populations Civiles.8	530.pdf	2021-07-05	14 januari 1939		P54-2-43-007.pdf	2021-07-05
Buchman, Dr. Frank																														"2. Pamflet: """"Gods Leiding of Kanonnen""""."	Dutch		537	Pamflet Gods Leiding of Kanonnen Buchman Dr Frank	Réarmement Moral.2	538.pdf	2021-07-05			R04-2-44-006.pdf	2021-07-05
Sijn, J.A. van	http://viaf.org/viaf/288567531																													J.A. van Sijn. Gewetensvrijheid in zake den krijgsdienst. De Dienstweigeringswet en hare toepassing. Rotterdam: Vredeskring voor Nederland, 1927 (3x)	Dutch		545	J A van Sijn Gewetensvrijheid in zake den krijgsdienst De Dienstweigeringswet en hare toepassing Rotterdam Vredeskring voor Nederland 1927 (3x) Sijn J A van	Refus du Service Militaire.06	546.pdf	2021-07-05	1927		R06-1-44-012.pdf	2021-07-05
Lüscher, U.	http://viaf.org/viaf/1115159234362103371412																													"58. Brochure: """"Wie ich unsern Bauern von der Dienstverweigerung erzählte""""."	German		553	Brochure Wie ich unsern Bauern von der Dienstverweigerung erzählte Lüscher U	Refus du Service Militaire.13	554.pdf	2021-07-05			R06-1-44-020.pdf	2021-07-05
Kamerling, Dr. Z.																														"27. Brochure: """"De weg naar den wereldvrede""""."	Dutch		561	Brochure De weg naar den wereldvrede Kamerling Dr Z	Refus du Service Militaire.05	562.pdf	2021-07-05	16-Dec-29		R06-1-44-028.pdf	2021-07-05
Last, Jef (citaat)																														"42. Brochure: """"Gij zult niet dooden!"""""	Dutch		569	Brochure Gij zult niet dooden Last Jef (citaat)	Refus du Service Militaire.09	570.pdf	2021-07-05	1930 (?)		R06-1-44-036.pdf	2021-07-05
Bixby Spencer, Fanny																														"52. Brochure: """"The Revolution Non-Resistant""""."	English		577	Brochure The Revolution Non-Resistant Bixby Spencer Fanny	Refus du Service Militaire.11	578.pdf	2021-07-05			R06-1-44-044.pdf	2021-07-05
Francois, J.H. (secretaris)																														18. Jaarverslag van de commissie van voorlichting aan gewetensbezwaarden tegen de militaire dienst over het jaar 1947.	Dutch		585	Jaarverslag van de commissie van voorlichting aan gewetensbezwaarden tegen de militaire dienst over het jaar 194 Francois J H (secretaris)	Refus du Service Militaire.04	586.pdf	2021-07-05	23 februari 1948		R06-1-44-052.pdf	2021-07-05
Sijn, J.A. van	http://viaf.org/viaf/288567531																													"32. Brochure: """"Dienstweigeringswet""""."	Dutch		593	Brochure Dienstweigeringswet Sijn J A van	Refus du Service Militaire.07	594.pdf	2021-07-05			R06-1-44-060.pdf	2021-07-05
Kees Boeke	http://viaf.org/viaf/32182601	Prof. Dr. G.J. Heering		Ds.J.B.Th. Hugenholtz		Mw. Dr. A. Mankes Zernike																								De Handelingen van het Algemeen Congres voor Dienstweigering, gehouden te Utrecht, 18 en 19 april 1925	Dutch		601	De Handelingen van het Algemeen Congres voor Dienstweigering gehouden te Utrecht 18 en 19 april 1925 Kees Boeke Prof Dr G J Heering Ds J B Th Hugenholtz Mw Dr A Mankes Zernike	Refus du Service Militaire.17b	602.pdf	2021-07-05	18,19 april 1925		R06-2-44-006.pdf	2021-07-05
Tieman, B.J.M., Den Haag																														39. Magazine: De oorlog in November 1917. (Geïllustreerde kroniek)	Dutch		609	Magazine De oorlog in November 191 (Geïllustreerde kroniek) Tieman B J M Den Haag	Pays-Bas.10	610.pdf	2021-07-05	1917		P16-41-039.pdf	2021-07-05
Morris, (Canon) Stuart																														"8. Brochure: """"Conscripting Christianity."""" A Sermon broadcast from the Birmingham Studio of the B.B.C. on Sunday, 1st August 1937."""""	English		617	Brochure Conscripting Christianity A Sermon broadcast from the Birmingham Studio of the B B C on Sunday 1st August 193 Morris (Canon) Stuart	Peace Pledge Union.2	618.pdf	2021-07-05	1 augustus 1937		P26-42-002.pdf	2021-07-05
Plowman, Max	http://viaf.org/viaf/45143919																													Brochure: Max Plowman's Report at the first Annual General Meeting of the Peace Pledge Union 1938	English		625	Brochure Max Plowman s Report at the first Annual General Meeting of the Peace Pledge Union 1938 Plowman Max	Peace Pledge Union.1	626.pdf	2021-07-05	1938		P26-42-010.pdf	2021-07-05
Pope, Hon. James P.		Dulles, John Foster	http://viaf.org/viaf/62342717																											"2. Pamflet: """"Peaceful Chance within the Society of Nations. Extension of remarks of Hon. James P. Pope of Idaho in the Senate of The United States, Thursday, May 21, 1936."""" Address by John Foster Dulles."""""	English		633	Pamflet Peaceful Chance within the Society of Nations Extension of remarks of Hon James P Pope of Idaho in the Senate of The United States Thursday May 21 193 Address by John Foster Dulles Pope Hon James P Dulles John Foster	Peaceful Change.	634.pdf	2021-07-05	21 mei 1936		P30-42-002.pdf	2021-07-05
Meijer, Bertus	http://viaf.org/viaf/288122340	Leeuwen, Freek van		Oorschot, Geert van		Last, Jef	http://viaf.org/viaf/97989444	Gross, Jo		Tieman, Lou		Iependaal, Willem van	http://viaf.org/viaf/43003094																	"6. Gedichtenbundel: """"Verzet""""."	Dutch		641	Gedichtenbundel Verzet Meijer Bertus Leeuwen Freek van Oorschot Geert van Last Jef Gross Jo Tieman Lou Iependaal Willem van	Poésie et Musique.2	642.pdf	2021-07-05	31-Dec		P38-42-004.pdf	2021-07-05
Vollenhoven, Prof. C. van																														"3. Pamflet: """"La sanction du droit international par la voie d'une police internationale""""."	French		649	Pamflet La sanction du droit international par la voie d une police internationale Vollenhoven Prof C van	Police Internationale.1	650.pdf	2021-07-05	1913		P40-42-002.pdf	2021-07-05
Asbeck, F. van		Kesper, L.A.		Ledeboer, Mr. L.V.		Mandere, H.Ch.G.J. van der		Struycken, Mr. A.J.N.M.		Karnebeek, H.A. van		Loder, Mr. B.C.J.		Verkade, Mr. W		Moresco, Prof. E.														" 6. Nota's, notulen, rapporten en circulaires van de """"Commissie van Advies inzake het vraagstuk eener Internationale Weermacht, met betrekking tot een statenpolitiemacht en een internationale Weermacht."""""	Dutch		657	Nota s notulen rapporten en circulaires van de Commissie van Advies inzake het vraagstuk eener Internationale Weermacht met betrekking tot een statenpolitiemacht en een internationale Weermacht Asbeck F van Kesper L A Ledeboer Mr L V Mandere H Ch G J van der Struycken Mr A J N M Karnebeek H A van Loder Mr B C J Verkade Mr W Moresco Prof E	Police Internationale.2	658.pdf	2021-07-05	18 oktober 1934		P40-42-006.pdf	2021-07-05
Mandere, H.Ch.G.J. van der																														"1. Brochure: """"Polen's verleden en toekomst"""". Overdruk uit """"Haagsch Maandblad, deel IV, No.6 - December 1925."""""	Dutch		665	Brochure Polen s verleden en toekomst Overdruk uit Haagsch Maandblad deel IV No 6 - December 192 Mandere H Ch G J van der	Pologne.	666.pdf	2021-07-05	25-Dec		P44-43-001.pdf	2021-07-05
Godwet, Willem	http://viaf.org/viaf/2571161211698840070004																													Oproep aan Mr. A.A.L.F.van Dullemen, Advocaat-Generaal bij het Gerechtshof te Amsterdam, door Willem Godwet.  (2x)	Dutch		673	Oproep aan Mr A A L F van Dullemen Advocaat-Generaal bij het Gerechtshof te Amsterdam door Willem Godwet (2x) Godwet Willem	Pootjes	674.pdf	2021-07-05	23 mei 1947		P45-43-008.pdf	2021-07-05
Landelijke Comité voor het Gebeds-, Bezinnings- en Concentratie- uur voor den Vrede.																														"2. Propagandamateriaal, krantenknipsels, correspondentie, pamfletten i.v.m. het""""Gebeds-, Bezinnings- en Concentratie-uur voor den Vrede, 20 october 1935 te 20.30 uur""""."	Dutch; German; French		681	Propagandamateriaal krantenknipsels correspondentie pamfletten i v m het Gebeds- Bezinnings- en Concentratie-uur voor den Vrede 20 october 1935 te 20 30 uur Landelijke Comité voor het Gebeds- Bezinnings- en Concentratie- uur voor den Vrede	Prière, méditation, etc. pour la Paix.	682.pdf	2021-07-05	1935		P50-43-001.pdf	2021-07-05
Leighton Yates, Dr. E.																														"4. Brochure: """"A Christian attitude towards air-raid precautions"""".Uitgave: The Fellowship of Reconciliation, London."""""	English		689	Brochure A Christian attitude towards air-raid precautions Uitgave The Fellowship of Reconciliation London Leighton Yates Dr E	Protection des Populations Civiles.1	690.pdf	2021-07-05			P54-1-43-002.pdf	2021-07-05
Algem. Nederlandse Vredes Actie		Algem. Ned. Vrouwen Vrede Bond		Intern. Vrouwenbond voor Vrede en Vrijheid, afd. Nederland		Jongeren Vredes Actie		Studenten Vredes Actie																						"16. """"Antwoord aan de Tweede Kamer uit de Vredesbeweging inzake de Luchtbeschermings- Wet""""."	Dutch		697	Antwoord aan de Tweede Kamer uit de Vredesbeweging inzake de Luchtbeschermings- Wet Algem Nederlandse Vredes Actie Algem Ned Vrouwen Vrede Bond Intern Vrouwenbond voor Vrede en Vrijheid afd Nederland Jongeren Vredes Actie Studenten Vredes Actie	Protection des Populations Civiles.4	698.pdf	2021-07-05			P54-1-43-010.pdf	2021-07-05
Littleboy, Wilfrid E.																														"16. Pamflet: """"Disarmament"""". (2x)"""""	English		705	Pamflet Disarmament (2x) Littleboy Wilfrid E	Outlawry of War.05	706.pdf	2021-07-05	28-Sep		O06-38-029.pdf	2021-07-05
																														32. Vergaderstukken Eerste en Tweede Kamer 1 maart 1929, 24 april 1929.	Dutch		713	Vergaderstukken Eerste en Tweede Kamer 1 maart 1929 24 april 192	Outlawry of War.08	714.pdf	2021-07-05	1929		O06-38-032.pdf	2021-07-05
Baan, L. de																														"1. Brochure: """"God en de Oorlog""""."	Dutch		721	Brochure God en de Oorlog Baan L de	Pacifisme Chrétien.01	722.pdf	2021-07-05	1915(?)		P04-1-39-008.pdf	2021-07-05
Assendelft, H. van																														"9. Rede: """"Het Godsdienstig geloof en de Balkan-Oorlog""""."	Dutch		729	Rede Het Godsdienstig geloof en de Balkan-Oorlog Assendelft H van	Pacifisme Chrétien.02	730.pdf	2021-07-05	10-Nov-12		P04-1-39-016.pdf	2021-07-05
																														"24. Brochure: """"Christ and Peace. A Call to the Church to End War. The Message of The Convention and certain other documents"""". (Conference on Christ and Peace, held at Oxford, April, 1931)"""""	English		737	Brochure Christ and Peace A Call to the Church to End War The Message of The Convention and certain other documents (Conference on Christ and Peace held at Oxford April 1931)	Pacifisme Chrétien.06	738.pdf	2021-07-05	April, 1931		P04-1-39-024.pdf	2021-07-05
Servire N.V., Den Haag																														"13. Catalogus: """"Boeken in het Licht!"""" Uitgave: N.V. Servire, Den Haag."""""	Dutch		745	Catalogus Boeken in het Licht Uitgave N V Servire Den Haag Servire N V Den Haag	Pacifisme Chrétien.03	746.pdf	2021-07-05	1932		P04-1-39-033.pdf	2021-07-05
Smith, C.J.																														"42. Pamflet: """"Geestelijke Vredeszending"""". (2x)."""""	Dutch		753	Pamflet Geestelijke Vredeszending (2x) Smith C J	Pacifisme Chrétien.10	754.pdf	2021-07-05	1925 Groot-Ammers, September 1925 ±1926		P04-1-39-041.pdf	2021-07-05
Jong, E. de		(Tijsma, Mr. J)																												"1. Open Brief: """"Aan de Anti-Revolutionairen en in het bijzonder aan den WelE. Gestr. Heer Mr. J. Tijsma....."""""	Dutch		761	Open Brief Aan de Anti-Revolutionairen en in het bijzonder aan den WelE Gestr Heer Mr J Tijsma Jong E de (Tijsma Mr J)	Pacifisme Chrétien.11	762.pdf	2021-07-05	1926(?)		P04-2-39-005.pdf	2021-07-05
Heymans, Dr. G.																														"8. Brochure: """"De Oorlog en de Vredesbeweging""""."	Dutch		769	Brochure De Oorlog en de Vredesbeweging Heymans Dr G	Pacifisme Chrétien.12	770.pdf	2021-07-05	1914(?)		P04-2-39-013.pdf	2021-07-05
Raven, Charles E. (voorwoord)		Dodd, C.H.	http://viaf.org/viaf/88868857	Macgregor, G.H.C.	http://viaf.org/viaf/100842456																									"27. Boekje: """"The Bases of Christian Pacifism""""."	English		777	Boekje The Bases of Christian Pacifism Raven Charles E (voorwoord) Dodd C H Macgregor G H C	Pacifisme Chrétien.15	778.pdf	2021-07-05	Sep-38		P04-2-39-021.pdf	2021-07-05
National Student Assembly Committee, New York, U.S.A.																														"29. Brochure: """"Christian Faith and Social Reconstruction""""."	English		785	Brochure Christian Faith and Social Reconstruction National Student Assembly Committee New York U S A	Pacifisme Chrétien.16	786.pdf	2021-07-05	1942		P04-2-39-029.pdf	2021-07-05
Vyscheslavzeff, B.		Zankow, S.		Oldham, J.																										"37. Boekje: """"Anhang"""". (Verzameling artikelen)."""""	German		793	Boekje Anhang (Verzameling artikelen) Vyscheslavzeff B Zankow S Oldham J	Pacifisme Chrétien.17	794.pdf	2021-07-05	1935		P04-2-39-037.pdf	2021-07-05
Flier, Mr. Dr. M.J.		Lycklama à  Nyeholt, Mej. Mr. J.F.		Jong van Beek en Donk, Jhr. Mr. Dr. B. de		Suchtelen, Jhr. Dr. Nico van (inleiding)																								"1. Boekje: """"Wereldwelvaart, Wereldrecht, Wereldvrede""""."	Dutch		801	Boekje Wereldwelvaart Wereldrecht Wereldvrede Flier Mr Dr M J Lycklama à  Nyeholt Mej Mr J F Jong van Beek en Donk Jhr Mr Dr B de Suchtelen Jhr Dr Nico van (inleiding)	Pacifisme; problème de la Paix.1	802.pdf	2021-07-05	1922(?)		P06-1-40-006.pdf	2021-07-05
Ayles, Walter H (voorwoord)																														"1. Brochure: """"Why I Believe in The No More War Movement, By leaders of Thought and Action in Religion, Politics, Industry, Science, Education, Literature, Drama""""."	English		809	Brochure Why I Believe in The No More War Movement By leaders of Thought and Action in Religion Politics Industry Science Education Literature Drama Ayles Walter H (voorwoord)	No More War Movement.1	810.pdf	2021-07-05			N30-37-001.pdf	2021-07-05
Embden, Prof. Dr. D. van		Hugenholtz, Ds.J.B.Th. (voorwoord)																												Verbod tot gebruik van gifgas en gifgaswapens in het volkenrecht	Dutch		817	Verbod tot gebruik van gifgas en gifgaswapens in het volkenrecht Embden Prof Dr D van Hugenholtz Ds J B Th (voorwoord)	Nooit Meer Oorlog Federatie.01	818.pdf	2021-07-05			N34-1-37-005.pdf	2021-07-05
Beversluis, Ds. M		Beversluis, Lotty																										Music; Peace Movement;		Nooit-Meer-Oorlog-Lied, by Lotty Beversluis; Nooit-Meer-Oorlog-Federatie.	Dutch		825	Nooit-Meer-Oorlog-Lied by Lotty Beversluis Nooit-Meer-Oorlog-Federatie Beversluis Ds M Beversluis Lotty	Nooit Meer Oorlog Federatie.03	826.pdf	2021-08-11			N34-1-37-013.pdf	2021-07-05
Biema-Hijmans, H. van																														"Brochure: """"Wat wil de Nooit Meer Oorlog Federatie?"""""	Dutch		833	Brochure Wat wil de Nooit Meer Oorlog Federatie Biema-Hijmans H van	Nooit Meer Oorlog Federatie.04	834.pdf	2021-07-05			N34-2-37-004.pdf	2021-07-05
Embden, Prof. Dr. D. van																														"Lecture by Prof. Dr. D. van Embden, Maastricht, 11 november 1924. """"Nationale Ontwapening of Volksverdediging"""". NMOF Zuid-Limburg"	Dutch		841	Lecture by Prof Dr D van Embden Maastricht 11 november 192 Nationale Ontwapening of Volksverdediging NMOF Zuid-Limburg Embden Prof Dr D van	Nooit Meer Oorlog Federatie.08	842.pdf	2021-07-05			N34-2-37-012.pdf	2021-07-05
Elink Schuurman, Mr. W.H.A.		Hugenholtz, Ds.J.B.Th.		Douma, J.		Embden, Prof. Dr. D. van		Heldring, E.	http://viaf.org/viaf/281901301	Marchant, Mr. M. P.		Verkade, J.A.E.	http://viaf.org/viaf/284511632	Schilthuis, Jan	http://viaf.org/viaf/287205616	Polano, Ir. H.														Uitgebreide verzameling correspondentie over de periode 1927-1929, tussen Mr. W.H.A. Elink Schuurman (Den Haag) en Hugenholtz, Ds.J.B.Th. Douma, J. Embden, Prof. Dr. D. van Heldring, E. Marchant, Mr. M. P. Verkade, J.A.E. Schilthuis, Jan Polano, Ir. H.	English; Dutch		849	Uitgebreide verzameling correspondentie over de periode 1927-1929 tussen Mr W H A Elink Schuurman (Den Haag) en Hugenholtz Ds J B Th Douma J Embden Prof Dr D van Heldring E Marchant Mr M P Verkade J A E Schilthuis Jan Polano Ir H Elink Schuurman Mr W H A Hugenholtz Ds J B Th Douma J Embden Prof Dr D van Heldring E Marchant Mr M P Verkade J A E Schilthuis Jan Polano Ir H	Outlawry of War.09a	850.pdf	2021-07-05	1927-1929		O06-2-38-002.pdf	2021-07-05
																														"9. Krant: """"Chicago Daily Tribune"""". 22 januari 1930. Betreft: """"London Naval Conference""""."	English		857	Krant Chicago Daily Tribune 22 januari 1930 Betreft London Naval Conference	Outlawry of War.12	858.pdf	2021-07-05	22 januari 1930		O06-3-38-007.pdf	2021-07-05
American Committee for the Outlawry of War, Chicago, U.S.A.																														"5. Brochure: """"The Outlawry of War. A Reprint from an Editorial in The World, New York City, Sunday, March 18, 1923""""."	English		865	Brochure The Outlawry of War A Reprint from an Editorial in The World New York City Sunday March 18 1923 American Committee for the Outlawry of War Chicago U S A	Outlawry of War.02	866.pdf	2021-07-05	18 maart 1923		O06-38-003.pdf	2021-07-05
Walsh, Thomas J.																														"11. Brochure: """"The Multilateral Treaty, Speech of Hon. Thomas J. Walsh, January 15, 1929"""""	English		873	Brochure The Multilateral Treaty Speech of Hon Thomas J Walsh January 15 1929 Walsh Thomas J	Outlawry of War.04	874.pdf	2021-07-05	15 januari 1929		O06-38-011.pdf	2021-07-05
