creato 1	creato uri 1	creato 2	creato uri 2	creato 3	creato uri 3	creato 4	creato uri 4	creato 5	creato uri 5	creato 6	creato uri 6	creato 7	creato uri 7	creato 8	creato uri 8	creato 9	creato uri 9	creato 10	creato uri 10	creato 11	creato uri 11	creato 12	creato uri 12	creato 13	creato uri 13	creato 14	creato uri 14	subjec	descri	title	langua	publis	dmrecord	losse	source	find	dmmodified	date	contri	identi	dmcreated
Heerdt-Quaries, Drs. P. van																												Peace education; 	"Een praatje bij lantaarnplaatjes als eerste inleiding  tot de Volkenbondsgedachte voor schoolkinderen van 9 tot 12 jaar. Voordracht met 43 plaatjes
1. Humoristisch tafereel van vechtende kinderen
2. Recht moet gaan boven macht
3. Een rechtbank
4. De Jure Belli ac Pacisz
5. Hugo de Groot
6. Hugo de Groot stapt in de boekenkist
7. De ontsnapping
Licht
8. De Bergrede (Debat Ponsan)
9. De oudste stoomboot
10. De nieuwe reuzeboot 
11. Een oude diligence
12. De oudste en de nieuwste locomotief 13. De allereerste fietsen 14. Het monument te Bern: de Wereldpost 15. Een huiselijk tafereeltje 16. Tsaar Nicolaas II en zijn gezin (Wereldvredescongress) 17. Het huis ten Bosch 18. De Christus van de Andes 19 Het Vredespaleis  20. Carnegie 21. Wereldkaart van de strydende landen 22. Yperen voor en na de oorlog 23. Het groote amerikanische Kerkhof van Romagne 24 Wilson 25. Wereldkaart 26. Grafische Voorstelling aantal inwoners 27. Geneve 28. Het tegenwoordige Paleis van den Volkenbond 29. Hoe het nieu"	" 15. Stencil: ""De Groote Vredesmachine. Begeleidende tekst behorende bij een serie toverlantaarnplaatjes"". Bloemendaal, Juni 1931"	Dutch		74	Stencil De Groote Vredesmachine Begeleidende tekst behorende bij een serie toverlantaarnplaatjes Heerdt-Quaries Drs P van	Théatre et Musique.3	75.pdf	2021-07-15	1931		T06-50-015.pdf	2021-05-27
Heim, Prof. Karl		Eksteen, J (vertaling)																												"3. Boekje: """"Tolstoi en Jezus""""."	Dutch		82	Boekje Tolstoi en Jezus Heim Prof Karl Eksteen J (vertaling)	Tolstoi.	83.pdf	2021-05-27			T08-50-002.pdf	2021-05-27
																														"11. Krant: """"Der Südtiroler"""". Folge 22, 10. Jahrgang - 15. November 1933 Folge 23, 10. Jahrgang - 1. Dezember 1933"""""	German		90	Krant Der Südtiroler Folge 22 Jahrgang - 1 November 1933 Folge 23 Jahrgang - Dezember 1933	Tyrol Méridional.3	91.pdf	2021-05-27	15 november 1933; 1 december 1933		T12-50-009.pdf	2021-05-27
Brailsford, H.N.																														"2. Pamflet: """"Turkey and the roads of the east""""."	English		98	Pamflet Turkey and the roads of the east Brailsford H N	Union of Democratic Control.	99.pdf	2021-05-27	Juli 1916		U18-51-002.pdf	2021-05-27
Dommelen, Louis van																														1. Foldermatariaal van de Vereeniging voor den Vrede, Amsterdam.	Dutch		106	Foldermatariaal van de Vereeniging voor den Vrede Amsterdam Dommelen Louis van	Vereeniging voor den Vrede.	107.pdf	2021-05-27			V08-52-001.pdf	2021-05-27
																														8 agenda's van de Volkenbond en Vrede	Dutch		114	agenda s van de Volkenbond en Vrede	Volkenbond en Vrede.1	115.pdf	2021-05-27	1930,1934,1935,1936,1937,		V10-1-52-009.pdf	2021-05-27
Vlaamsche Jongeren Vredes-Aktie.																														"2. Maandblad; """"Nooit Meer!"""" Propaganda- en studie- blad uitgegeven door de Vlaamsche Jongeren Vredes-Aktie. 3de jaargang Nr. 11 en 12 - januari/februari 1935."""""	Dutch		122	Maandblad Nooit Meer Propaganda- en studie- blad uitgegeven door de Vlaamsche Jongeren Vredes-Aktie 3de jaargang Nr 11 en 12 - januari/februari 193 Vlaamsche Jongeren Vredes-Aktie	Vlaamsche Jongeren Vredes-Aktie.	123.pdf	2021-05-27	Januari/Februari 1935		V16-52-003.pdf	2021-05-27
Reut-Nicolussi, Dr. Eduard																														"4. Boek: """"Das altösterreichische Nationalitätenrecht in Welschtirol"""". (Met los bijgevoegde, handgeschreven, biografie)"""""	German		130	Boek Das altösterreichische Nationalitätenrecht in Welschtirol (Met los bijgevoegde handgeschreven biografie) Reut-Nicolussi Dr Eduard	Tyrol Méridional.1	131.pdf	2021-05-27	Innsbruck, 1930		T12-50-001.pdf	2021-05-27
Union Internationale des Associations par la Société des Nations.																														"5. Brochure: """"La situation de la Minorité juive en Roumanie. (The situation of the Jewish Minority in Rumania)""""."	French; English		138	Brochure La situation de la Minorité juive en Roumanie (The situation of the Jewish Minority in Rumania) Union Internationale des Associations par la Société des Nations	Union Internationale des Associations par la Société des Nations.2	139.pdf	2021-05-27	1928		U12-51-004.pdf	2021-05-27
																														5. Foldermateriaal van Verband für Internationale Verständigung.			146	Foldermateriaal van Verband für Internationale Verständigung	Verband für Internationale Verständigung.	147.pdf	2021-05-27			V04-52-005.pdf	2021-05-27
Vollenhoven, Prof. Mr. C. van																														"2. Brochure: """"Wat te doen staat. Overdruk uit het tijdschrift De Volkenbond""""."	Dutch		154	Brochure Wat te doen staat Overdruk uit het tijdschrift De Volkenbond Vollenhoven Prof Mr C van	Vollenhoven, Prof. Mr. C. van	155.pdf	2021-05-27	27-Nov		V18-52-002.pdf	2021-05-27
Eckstein, Anna B.	http://viaf.org/viaf/25351454																													1. Brochure: The World Petition to Prevent War Between Nations. To the governments represented at the third Hague Peace Conference. A Paper written for the National Brotherhoods of Great Britain. Publisher: National Brotherhood Council			4	Brochure The World Petition to Prevent War Between Nations To the governments represented at the third Hague Peace Conference A Paper written for the National Brotherhoods of Great Britain Publisher National Brotherhood Council Eckstein Anna B	World Petition to Prevent War	5.pdf	2021-05-26			W28-55-001.pdf	2021-05-26
Eyles, Merle	http://viaf.org/viaf/754159234235003371068	Stankunas, Józef																												"6. Brochure: """"Il a fait le Sacrifice pour nous permettre de vivre"""". (Over Józef Stankunas, Un objecteur de conscienece polonais"""".)"""""	French		12	Brochure Il a fait le Sacrifice pour nous permettre de vivre (Over Józef Stankunas Un objecteur de conscienece polonais ) Eyles Merle Stankunas Józef	War Resisters' International.4	13.pdf	2021-05-26	1939 (?)		W08-2-54-002.pdf	2021-05-26
Kemény, Franz																												Peace	"Entwurf einer internationalen Gesammt- Academie: (IGA) Weltacademie
Projet et Plan d'une Académie Universelle Internationale (AUI). "	"1. Boek: ""Entwurf einer internationalen Gesammt- Academie: Weltacademie nebst einem französischen Anhang""."	German; French	E. Pierson's Verl., Dresden, Leipzig, Wenen; R. Lampel (Ph. Wodaner & Söhne) Kgl. Ung. Hofbuchhandlung, Budapest	20	Boek Entwurf einer internationalen Gesammt- Academie Weltacademie nebst einem französischen Anhang von Franz Kemény Realschuldirektor in Budapest	Weltacademie.	21.pdf	2021-07-06	1901		W16-55-001.pdf	2021-05-26
Matthys, Davien		Noordhoek, Piet																												" 3. Mededelingen van de Vredesgroep """"Leven""""."	Dutch		28	Mededelingen van de Vredesgroep Leven Matthys Davien Noordhoek Piet	"Vredesgroep """"Leven""""."	29.pdf	2021-05-26	Kortgene, 1934		V24-52-003.pdf	2021-05-26
Hugenholtz, Ds. J.B.Th.		Elink Schuurman, Mr. W.H.A.																												"11. Correspondentie en propagandamateriaal van de Stichting """"De Vredeskamer""""."	Dutch		36	Correspondentie en propagandamateriaal van de Stichting De Vredeskamer Hugenholtz Ds J B Th Elink Schuurman Mr W H A	Vredeskamer, Stichting De.3	37.pdf	2021-05-26	1931-1935		V25-1-53-009.pdf	2021-05-26
Wolff, W.A.																														"2. Brochure: """"Vredeswacht. De Derde Macht""""."	Dutch		44	Brochure Vredeswacht De Derde Macht Wolff W A	Nederlandsche Arbeiders Vredeswacht.	45.pdf	2021-05-26			V32-53-001.pdf	2021-05-26
Dijkstra, Cor																														"1. Brochure: """"Onze houding ten opzichte van het vredesvraagstuk""""."	Dutch		52	Brochure Onze houding ten opzichte van het vredesvraagstuk Dijkstra Cor	Vrijzinnig Christelijke Jongerenbond.	53.pdf	2021-05-26	Groningen, Maart/April 1931		V34-53-001.pdf	2021-05-26
Pille, Axel	http://viaf.org/viaf/23154940																													"1. Brochure: """"Hvad Soldaten LÆrer""""."	Danish		60	Brochure Hvad Soldaten LÆrer Pille Axel	War Resisters' International.1	61.pdf	2021-05-26			W08-1-54-001.pdf	2021-05-26
Het Vredeshuis, Den Haag.																														"5. Alfabetische Catalogus van """"Het Vredeshuis""""."	Dutch		68	Alfabetische Catalogus van Het Vredeshuis Het Vredeshuis Den Haag	Vredeskamer, Stichting De.1	69.pdf	2021-05-26	's-Gravenhage, 1934		V25-1-53-005.pdf	2021-05-26
Dyen- Van Gemerde, A.G. van																														"Theatre play: """"Verstoord Geluk"""""	Dutch		76	Theatre play Verstoord Geluk Dyen- Van Gemerde A G van	Théatre et Musique.4	77.pdf	2021-05-27			T06-50-017.pdf	2021-05-27
Tolstoi, Leo																														"4. Pamflet en poster: """"Tolstoi over vragen van Oorlog en Vrede""""."	Dutch		84	Pamflet en poster Tolstoi over vragen van Oorlog en Vrede Tolstoi Leo	Tolstoi.	85.pdf	2021-05-27			T08-50-005.pdf	2021-05-27
																														" 10. Manuscript: """"Kurzgefasste Übersicht der Südtirolischen Frage""""."	German		92	Manuscript Kurzgefasste Übersicht der Südtirolischen Frage	Tyrol Méridional.3	93.pdf	2021-05-27			T12-50-011.pdf	2021-05-27
Demont, Henri	http://viaf.org/viaf/20061785	Breuner, E.		Balbis, Andrea	http://viaf.org/viaf/80159032531501180521																							Peace Movement; Music;		"6. Bladmuziek: """"Vive la Paix Chant De L'Union Universelle"""". Pour supprimer ce crime: la Guerre"	French		100	Bladmuziek Vive la Paix Chant De L'Union Universelle Pour supprimer ce crime: La Guerre Paroles de Henri Demont & E. Breuner Musique de Andrea Balbis	"Union Universelle.2 """"Pour supprimer ce crime : la guerre""""."	101.pdf	2021-07-13	1929 (?)		U20-51-003.pdf	2021-05-27
Vereeniging voor Volkenbond en Vrede																														"8. Brochure: """"Vereeniging voor Volkenbond en Vrede. Haar geschiedenis, Statuten en Samenstelling"""". (2x)"""""	Dutch		108	Brochure Vereeniging voor Volkenbond en Vrede Haar geschiedenis Statuten en Samenstelling (2x) Vereeniging voor Volkenbond en Vrede	Volkenbond en Vrede.2	109.pdf	2021-05-27	1933		V10-1-52-002.pdf	2021-05-27
Salvator																														" 2. Brochure: """"Levenswee. De blindgeschotene. Het weerzien. Schetsen uit 't leven van onzen tijd""""."	Dutch		116	Brochure Levenswee De blindgeschotene Het weerzien Schetsen uit t leven van onzen tijd Salvator	Victimes de la Guerre. (Oorlogsslachtoffers.)	117.pdf	2021-05-27	Amsterdam,1916		V12-52-001.pdf	2021-05-27
																														"1. Propagandamateriaal en krantenknipsels i.v.m. de conferentie """"Vrede door Religie"""", Den Haag, 31 juli - 2 augustus 1928."""""	Dutch; French		124	Propagandamateriaal en krantenknipsels i v m de conferentie Vrede door Religie Den Haag 31 juli - 2 augustus 192	Vrede door Religie.	125.pdf	2021-05-27	31 juli- 2 augustus 1928		V20-52-001.pdf	2021-05-27
Voltelini, Dr. Hans		Ottenthal, Dr. Emil von d.																												"7. Brochure: """"Le Tyrol; méridional allemand et ladin""""."	French		132	Brochure Le Tyrol méridional allemand et ladin Voltelini Dr Hans Ottenthal Dr Emil von d	Tyrol Méridional.2	133.pdf	2021-05-27	1919		T12-50-005.pdf	2021-05-27
